,mean,std
sales_month_lag_1,10043.323077754201,1538.7523180527185
item_to_last_sold_month,4629.970276882106,718.5867310389499
sales_mean_month_item_city_lag_1,1958.0616661880663,899.1103189549566
sales_month_lag_3,974.5736548182502,84.52185620860827
item_to_first_sold_month,834.9307362496264,105.72110975152376
sales_month_lag_2,775.1551870606538,89.97908615864246
sales_mean_month_shop_cat2_lag_1,705.1294187456418,44.866890957519765
sales_mean_month_item_lag_1,546.9215312796027,33.23800845793025
item_cat1,529.0767585769386,20.68885226602791
sales_mean_month_cat1_cat2_lag_6,524.8440732524846,29.483012997231082
month2,489.8772268832625,33.630518641824224
sales_mean_month_shop_lag_12,461.8556692203333,35.1936059995624
shop_item_to_last_sold_month,442.5235383442323,201.34729620135641
item_id,437.4235026046808,28.67963949845071
sales_mean_month_cat1_cat2_lag_2,408.15571754152415,56.840517028250794
sales_mean_month_cat1_cat2_lag_3,400.6944848006366,37.80518118222474
sales_month_lag_6,385.40928366012724,24.776580259628826
sales_mean_month_cat1_cat2_lag_1,357.25694033375123,60.46693925426566
item_price_trend,327.93655209047745,4.557378839141339
sales_mean_month_cat2_lag_1,327.34735807112054,30.22909490570466
month,316.16361030028696,32.841349561294045
sales_mean_month_lag_1,295.5705986275948,16.819332501492262
item_cat2,286.9804304648318,16.05534242118908
sales_mean_month_cat1_lag_1,273.6426997021712,4.4957859981193335
Type,254.69039431179093,35.81534373157828
sales_mean_month_item_lag_2,250.2999805408216,31.1800863245389
sales_mean_month_shop_lag_6,240.03197350312192,42.859992410597094
sales_mean_month_shop_cat1_lag_1,236.69545828313125,13.129706891631391
days_in_month,212.46856894148635,20.33139384640678
sales_mean_month_item_lag_3,209.58096633788065,24.407492738511515
sales_mean_month_shop_lag_3,177.1701963351932,21.2904128963774
sales_mean_month_shop_lag_2,163.48030436187037,8.35722975970238
shop_item_to_first_sold_month,161.55391710672092,28.17791356050314
sales_month_lag_12,160.63505458565572,7.1812790143129215
sales_mean_month_item_lag_6,159.92623440944178,23.95652976837463
shop_id,152.32741069673162,9.245555516423591
sales_mean_month_item_lag_12,146.70527940811354,15.245045203682782
sales_mean_month_shop_lag_1,126.57115929686748,15.887876648260153
sales_mean_month_city_lag_1,114.74482889419957,4.391209567419415
shop_rev_trend,112.90191547191831,6.715371060546738
City,100.5073561423282,5.77627948396249
sales_mean_month_shop_type_lag_1,94.77441706351108,13.585930761700467
