,0,1,2
City,107.57089460485565,108.98540810094936,132.1632861752842
Type,345.0022598674828,212.32278996642856,212.21411959383667
item_cat1,424.5942747134971,383.1127228480596,328.8446929217474
item_cat2,318.7019373967473,403.58395703691264,350.20447921774735
item_id,465.58376589064744,482.2692966479796,413.76352602812756
month,332.98841866882213,318.6468308891339,362.978125882569
sales_mean_month_cat1_cat2_lag_1,360.2013534890951,300.7632030594159,279.74545124945206
sales_mean_month_cat1_cat2_lag_2,279.7837114956347,310.33965236036147,371.4297639015969
sales_mean_month_cat1_cat2_lag_3,411.2839254360927,229.82441211303504,300.08024240737296
sales_mean_month_cat1_cat2_lag_6,343.16740453171815,337.0215366903345,375.904514485551
sales_mean_month_cat1_lag_1,269.71462416292616,249.22945744916365,318.84989483075753
sales_mean_month_cat2_lag_1,235.04175688336605,300.19412427474344,321.6365014773943
sales_mean_month_city_lag_1,145.92464319909976,169.1583448795096,153.29694623056642
sales_mean_month_item_city_lag_1,2633.7820103386493,218.50328668484815,258.2908047377156
sales_mean_month_item_lag_1,602.1739938399676,521.3280121645811,673.6254646218362
sales_mean_month_item_lag_12,711.1565795284223,773.225516261408,633.5740956995814
sales_mean_month_item_lag_2,425.46067514755,869.181107294524,369.01577397469407
sales_mean_month_item_lag_3,339.87457153103895,488.8080499643625,307.7884341027972
sales_mean_month_item_lag_6,754.2426083179847,354.97785701474777,300.1818383184004
sales_mean_month_lag_1,468.23684224109553,407.4311133607914,417.5648031656782
sales_mean_month_shop_cat1_lag_1,164.45964169486774,358.3478961078439,232.64006870417487
sales_mean_month_shop_cat2_lag_1,872.8621047060279,1299.6313167696753,739.1895427854399
sales_mean_month_shop_lag_1,139.38546384468253,131.6243652426882,125.18911861250004
sales_mean_month_shop_lag_12,459.2562090819606,312.5246470353732,267.07228247588955
sales_mean_month_shop_lag_2,164.59432904114223,129.15439665803007,152.58716483479702
sales_mean_month_shop_lag_3,171.9824217105765,173.00158839732055,187.81466220277693
sales_mean_month_shop_lag_6,167.89253353032808,153.595370211577,170.80156021558489
sales_mean_month_shop_type_lag_1,85.5128626583333,136.67650387095233,105.2756065239437
sales_month_lag_1,5285.621456196044,4822.895428150291,6479.588941531186
sales_month_lag_12,188.95423220323812,223.3867578097413,193.39747900896992
sales_month_lag_2,1017.5486893224728,269.2491383712097,341.7048808681038
sales_month_lag_3,1145.5925740963003,2585.7893346241517,1354.8296100187733
sales_month_lag_6,459.49970990598604,1215.1390463558694,368.91102731492305
shop_id,185.4553054330919,166.02087341726636,164.08498922556166
