,0,1,2
City,192.07567720467034,192.07567720467034,192.07567720467034
Type,970.0280385880766,970.0280385880766,970.0280385880766
cnt_mean_cat1_cat2_lag_1,1255.6685222378576,1255.6685222378576,1255.6685222378576
cnt_mean_cat1_cat2_lag_2,10181.935589181077,10181.935589181077,10181.935589181077
cnt_mean_cat1_cat2_lag_3,393.79537253769234,393.79537253769234,393.79537253769234
cnt_mean_cat1_cat2_lag_4,145.09816859359375,145.09816859359375,145.09816859359375
cnt_mean_cat1_cat2_lag_5,185.57936930714283,185.57936930714283,185.57936930714283
cnt_mean_cat1_cat2_lag_6,122.1729464410345,122.1729464410345,122.1729464410345
cnt_mean_cat1_shop_lag_1,264.6864350965387,264.6864350965387,264.6864350965387
cnt_mean_cat1_type_lag_1,225.82279484884637,225.82279484884637,225.82279484884637
cnt_mean_cat1_type_lag_2,200.10265452846167,200.10265452846167,200.10265452846167
cnt_mean_cat1_type_lag_3,119.54486721947373,119.54486721947373,119.54486721947373
cnt_mean_cat2_type_lag_1,223.84601549760006,223.84601549760006,223.84601549760006
cnt_mean_cat2_type_lag_2,336.4159801201851,336.4159801201851,336.4159801201851
cnt_mean_cat2_type_lag_3,173.86179169151512,173.86179169151512,173.86179169151512
cnt_mean_cat2_type_lag_4,169.59325231868428,169.59325231868428,169.59325231868428
cnt_mean_item_city_lag_1,402.0346140541581,402.0346140541581,402.0346140541581
cnt_mean_item_city_lag_2,207.6280725768317,207.6280725768317,207.6280725768317
cnt_mean_item_city_lag_5,179.46530621875,179.46530621875,179.46530621875
cnt_sum_month_lag_1,5900.996951011358,5900.996951011358,5900.996951011358
cnt_sum_month_lag_2,453.90030359136966,453.90030359136966,453.90030359136966
cnt_sum_month_lag_3,278.70582616287953,278.70582616287953,278.70582616287953
cnt_sum_month_lag_4,413.8226348811832,413.8226348811832,413.8226348811832
cnt_sum_month_lag_5,462.2249864602858,462.2249864602858,462.2249864602858
cnt_sum_month_lag_6,406.9581058674606,406.9581058674606,406.9581058674606
